,main_file,label_img,sub_level_file
68,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_24_0.png
69,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_24_1.png
70,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_25.png
71,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_25_0.png
72,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_25_1.png
73,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_26.png
74,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_26_0.png
75,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_26_1.png
76,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_3.png
77,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_8.png
78,JBR04897,IMG_LOT_CODE_SYMBOL_BW.png,JBR04897_L2_9.png
79,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_1.png
80,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_12_0.png
81,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_12_1.png
82,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_13.png
83,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_22.png
84,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_22_0.png
85,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_22_1.png
86,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_23.png
87,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_23_0.png
88,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_23_1.png
89,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_24.png
90,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_24_0.png
91,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_24_1.png
92,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_25.png
93,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_25_0.png
94,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_25_1.png
95,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_6.png
96,JBR04896,IMG_LOT_CODE_SYMBOL_BW.png,JBR04896_L2_7.png
97,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_0.png
98,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_0_0.png
99,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_16_0.png
100,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_16_1.png
101,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_16_5.png
102,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_17_0.png
103,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_17_1.png
104,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_19.png
105,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_19_6.png
106,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_2.png
107,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_2_0.png
108,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_20.png
109,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_21.png
110,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_23.png
111,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_26_0.png
112,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_26_12.png
113,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_26_2.png
114,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_26_6.png
115,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_26_8.png
116,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_33_0.png
117,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_33_1.png
118,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_33_5.png
119,JBR04755,IMG_LOT_CODE_SYMBOL_BW.png,JBR04755_L2_34_0.png
